Metrics/EnvironmentSteps,Metrics/AverageReturn
1371,-2.0058031866305144
1374,-1.6385145169188178
1376,-2.008580861856862
1379,-1.673919684096761
1383,-1.4884786412911444
1386,-1.6361071816320092
1388,-2.0086812254352004
1390,-2.0086713169285204
1395,-1.360367593578484
1397,-2.005933770157834
1399,-1.9244305395442831
1401,-1.9242833783992466
1406,-1.3789308496380028
1408,-2.0086158731257937
1410,-2.0086099217617637
1419,-1.2305386370016396
1423,-1.5171888826302915
1426,-1.015472079244798
1429,-1.6406819630855578
1431,-1.9234541655091095
1433,-2.005815105988564
1437,-1.4885110474640033
1439,-1.924166932963843
1443,-1.4792082512843774
1446,-1.63813022205636
1450,-1.4840278932630189
1452,-1.9941655544811967
1456,-1.4780252580495334
1459,-1.6395023183031372
1462,-1.663876325295467
1465,-1.6270779062049785
1467,-2.008522175803794
1472,-1.3685670065157045
1476,-1.459315049923953
1479,-1.0170724222381136
1482,-1.0249143472292974
1491,-1.1566033261286341
1493,-2.0085504499278195
1496,-1.6385467000091387
1499,-1.604112607969391
1502,-1.6345037801406914
1505,-1.6347275323950832
1508,-0.9860661818109766
1511,-1.653829826763637
1515,-1.5007970669942714
1518,-1.6384025280268801
1524,-1.3078403996760162
1527,-0.9242100157605496
1530,-1.682025525487221
1532,-1.9241790421019456
1534,-2.005799726584234
1537,-1.5979023113116766
1541,-1.4598426263542796
1546,-1.3904873571046263
1549,-1.641741355699354
1552,-1.0129610248989243
1556,-1.4277062792062298
1559,-0.9246028760945871
1562,-1.662901445600985
1564,-1.9577326380646498
1566,-2.0058153701345303
1572,-1.313849740989063
1575,-1.663897682608843
1578,-1.6370516727503521
1589,-0.9502361662851532
1598,-1.2384716424875628
1602,-1.4054951257425878
1604,-2.0085290319207854
1609,-1.3697830348060018
1613,-0.9219246178473453
1617,-1.5172048319014537
1620,-1.6718588310749538
1623,-1.6172100690497342
1627,-1.4603285761425489
1631,-1.451544966103873
1635,-1.455583005348486
1640,-1.339490323845993
1647,-1.2844089270728278
1651,-1.470321459297303
1653,-1.958619168450995
1658,-0.9935467441464073
1661,-1.6392349617686097
1667,-1.3090583370789526
1671,-1.4032883396124771
1673,-1.9246065037838744
1675,-2.008594533481939
1677,-2.0085367042077285
1681,-1.47972034285574
1685,-1.4838545177925981
1689,-0.9913131418081289
1693,-1.4740816419870453
1697,-1.4786034366270868
1703,-0.963170836899951
1706,-1.6380171733033067
1709,-1.017988126429528
1713,-0.9700804908656101
1718,-1.3327214486239907
1721,-1.6716493688444813
1724,-1.6390354852138886
1727,-1.6345930547318757
1729,-2.0086087303758537
1731,-2.008497944297833
1734,-1.0187216888906216
1737,-1.6631160709697355
1740,-1.6360322897310586
1744,-1.4702967560779652
1748,-1.4553821631723312
1750,-1.9581299780768413
1754,-1.4318334497551222
1756,-1.923858517600511
1759,-1.6379882782955277
1768,-1.1750848761677655
1774,-1.3043776169957246
1776,-2.0057845007176063
1781,-1.334101996231518
1783,-2.0057324300004287
1786,-1.0184679563971555
1790,-1.452606669992449
1793,-1.636618908710162
1796,-1.639036342686194
1800,-1.4259208138932982
1803,-1.5894587703483616
1805,-2.0085482078015775
1809,-1.5001456385538912
1812,-1.6346737720436113
1816,-1.452828757332791
1818,-1.9235773067987452
1825,-1.199302588339842
1828,-1.6631043167047792
1832,-1.517157895695934
1835,-1.6229736174850509
1839,-1.4720632237826634
1842,-1.6430936750706389
1849,-1.2740476689442637
1852,-1.627117517246626
1857,-1.386618757426488
1865,-1.2408560917665377
1868,-1.625287792966188
1871,-1.6377165382074697
1873,-2.0085410015928167
1875,-1.9940378730243058
1879,-1.4476821812444363
1882,-1.6163751480113282
1884,-1.9590898257205704
1890,-1.263743885777994
1893,-1.6384195557112344
1897,-1.475053096625507
1902,-1.3825952123215146
1906,-1.4759575900033175
1910,-1.4667836673799972
1914,-1.466778962321297
1916,-2.0086031272950393
1919,-1.6388472366794702
1924,-1.3738972875765196
1927,-1.6344775841365091
1929,-2.0087108345812585
1933,-1.5030780895022129
1938,-1.3864999159260933
1941,-1.6370355176142812
1944,-1.6400852689695327
1946,-1.956512426308635
1948,-1.9611720948519356
1951,-1.6387499327176067
1954,-1.0184065860476519
1960,-1.2795638348958862
1962,-1.9589322249979055
1966,-1.4682575679186518
1969,-1.6718806596291957
1971,-1.958925670418584
1975,-1.4405208138114918
1978,-1.662965087765544
1981,-1.6819962765242042
1983,-2.005779440649678
1987,-1.4428258847223283
1990,-1.6630210763699484
1992,-1.9603906208924538
1997,-1.3159762400311885
2000,-1.6630810240448604
2004,-1.4817313591264651
2007,-1.6407326244129623
2012,-1.3165747212560586
2015,-1.6406699305997974
2017,-2.0058623637283013
2023,-1.3085170105013448
2026,-1.6639367105138394
2030,-1.4551042269780776
2035,-1.386665421481911
2040,-1.3373655537726297
2043,-1.634294005393884
2045,-1.9234599587076548
2049,-1.4884357411467048
2053,-1.517404810357342
2055,-1.923423698805556
2057,-1.95616394807766
2062,-0.988275119864609
2066,-1.4525226493599894
2069,-1.639169732596858
2075,-1.3159908842763826
2078,-1.6355790350990247
2080,-2.0085314575128494
2082,-2.0085890858470914
2084,-2.0086371562271585
2089,-0.9498511942619648
2092,-1.637346602855783
2096,-1.4845125800981906
2101,-1.3402019764873736
2103,-1.923433545758093
2106,-1.6387704746187044
2109,-1.6171138940297574
2111,-2.0057758028116295
2114,-1.6348958119002752
2118,-1.445952040155365
2124,-1.2759748410669451
2128,-1.453447970568199
2130,-2.0085642777679587
2133,-1.0225646261698353
2140,-1.1936016907411608
2142,-2.0085602777956253
2144,-2.0085542995086993
2147,-1.6819492822599245
2152,-1.0034486354093426
2155,-1.6401261864933865
2157,-2.00572786002666
2160,-1.6397278437482277
2164,-1.4531097568764249
2173,-1.141694341003984
2176,-1.6402007025258658
2184,-1.2312372257652469
2187,-1.6819999945763449
2190,-1.6634528596607445
2192,-2.0086113860935697
2194,-2.008581217065794
2198,-1.4721765074333102
2205,-1.215546428740841
2207,-1.9234689180963107
2210,-1.6640780683269398
2212,-2.008651031266587
2215,-1.6170749879933783
2219,-1.418377553680307
2222,-1.639910032095344
2225,-1.6272973955994245
2228,-1.6632958965673357
2236,-1.2133397473973107
2238,-2.008583407910484
2240,-1.9234800840261639
2243,-1.6384221898528903
2246,-1.626872844706367
2251,-0.9995629961418746
2253,-2.008610383740873
2255,-2.005741162348211
2258,-1.6413895251153081
2262,-1.4605888650209682
2265,-1.0183338931959203
2268,-1.6421519138450495
2275,-1.3014285619661619
2280,-1.3398008366727396
2284,-1.4888753948174838
2287,-1.6718436298957926
2290,-0.9840499086006137
2293,-1.6406376767608648
2295,-2.0086472918343246
2297,-2.0058180743467737
2300,-0.9813327283543237
2304,-1.4321009761228418
2306,-1.9237601194775538
2312,-1.2802300495063819
2315,-1.635859742959579
2318,-1.6353458356469222
2321,-1.6415807035684533
2324,-1.6630704458446122
2327,-1.6417291337101272
2330,-1.0153552377731472
2333,-1.670306475311176
2337,-1.5172066513556304
2340,-1.6377673277319598
2343,-0.9806763454967365
2345,-2.008604008526108
2348,-0.9327882429567597
2350,-2.0085430422487156
2353,-0.9639164385997149
2357,-1.4053041477203
2360,-1.6403184760194651
2362,-1.9234669335839871
2365,-1.6228179490725665
2368,-0.9791189482419888
2371,-1.6038089077040387
2373,-1.9940027589497704
2377,-1.4799270810691105
2380,-1.6704133238854373
2384,-1.4789950343771492
2387,-1.641202240292447
2389,-1.923441215090078
2394,-0.9505098276252856
2397,-1.639330887711403
2400,-1.6378974037007812
2402,-1.9238477614430984
2405,-1.6351680205962704
2408,-1.617781171494275
2411,-0.983690851129646
2414,-1.6632575808663663
2416,-1.9234613107648584
2419,-1.670434654910317
2421,-2.0085558560593464
2424,-1.6363931042944666
2426,-2.0085666426197
2429,-1.6372994702148764
2432,-1.6411458382211126
2436,-1.4605587250577494
2440,-1.5007200201707451
2443,-1.6173471758423439
2445,-2.0086819045184585
2450,-1.3908506982699416
2453,-0.9828109187789732
2455,-1.994166941673259
2458,-1.6368736148210974
2462,-1.4719649963976986
2466,-1.484389331832055
2468,-2.005768438212506
2472,-1.4801616099056332
2474,-2.0085325978813273
2477,-1.0168300290541088
2481,-1.4591347251246238
2485,-1.5173920048267275
2487,-1.9576586138711547
2489,-1.9577368679751186
2492,-1.632340619596534
2495,-1.64346124382302
2497,-1.9234048370564363
2499,-1.9598974942865746
2503,-1.4774602346990584
2505,-2.008626288504507
2515,-1.1643821147136328
2521,-1.2911524787329833
2524,-1.6630997410482653
2527,-1.0183947798526323
2531,-1.455615368395594
2536,-1.3631958123702514
2540,-1.4667098069990538
2543,-1.6356549121982062
2546,-1.6642875055152218
2551,-1.390932784413458
2556,-1.3391446050481979
2559,-1.0148955478765984
2565,-0.9466062181331649
2570,-1.3889669197448649
2572,-2.0084606696546925
2574,-1.9572503813502649
2576,-1.9940575262488387
2578,-1.956705938710209
2581,-1.6413784612415003
2585,-1.4594586364370192
2588,-1.6407012332445372
2590,-2.0085581139484727
2593,-1.653936955691598
2599,-0.9370535810912134
2605,-1.3266057839988934
2610,-1.3841529221378606
2613,-1.6411361605049917
2615,-2.008527850737892
2618,-1.6389510326097625
2621,-1.6361675159981186
2624,-1.6422077043215566
2627,-1.6391438053028946
2629,-2.0085528530608947
2632,-1.6417862617236476
2636,-1.476985775748421
2639,-1.6374018151778467
2641,-2.0086076816157474
2644,-1.6170492425026062
2647,-1.6355642358427918
2649,-1.9239267834311582
2651,-2.0085825458441
2655,-1.5173332966183657
2659,-1.4581412441556723
2664,-1.3233484682855359
2667,-1.6409183585328444
2669,-2.0086000313350336
2671,-2.008540454955773
2673,-1.9562914826789932
2677,-1.4522647369211525
2679,-1.9244025674401446
2681,-2.0057781784439914
2684,-1.640983517823347
2688,-1.4469142484827668
2690,-2.0086699645885986
2694,-1.4284048831562965
2698,-0.9902660527170746
2701,-1.6394554948626385
2703,-2.008566246437897
2706,-1.639323864226384
2708,-1.959642727461693
2711,-1.6397871531262809
2714,-1.018125444274124
2720,-1.2968978616041145
2722,-2.008549018093227
2724,-1.9580909115933873
2729,-0.9548158315278468
2733,-1.480507288668862
2736,-1.6629701180794962
2738,-1.923357717152876
2740,-1.9589018697312024
2743,-1.6386753941295424
2745,-2.008614606607722
2749,-1.4532787582770694
2752,-1.6377863098284255
2755,-1.6415873336278537
2759,-1.453268568210507
2762,-1.6631788159797003
2770,-1.2243641429125502
2772,-1.9942882988935606
2777,-1.3846826321001557
2779,-1.9239389591383207
2782,-1.6356263071895094
2784,-1.9236051871281585
2787,-1.6331709266014043
2790,-1.6719293153140173
2794,-1.4826067842821802
2799,-1.387788596932721
2802,-1.6412631399799504
2806,-1.4604571530554729
2810,-1.466926957856366
2815,-1.364587894787007
2819,-1.4601655385824435
2821,-1.958707868802502
2823,-1.956214495583793
2827,-1.5007024083913036
2832,-1.2848239868374935
2834,-1.9234764058929448
2836,-2.005837556245769
2840,-1.4812342275220876
2842,-1.9235214850121776
2845,-1.6718411034935101
2848,-1.6705148674128543
2855,-1.225497100214056
2858,-1.6071936427465332
2862,-1.500933001514691
2866,-1.4608130342126127
2873,-1.0030748706941506
2876,-1.6269107171119945
2880,-1.517127764493829
2883,-1.0181499324120629
2886,-0.9858842843301862
2889,-1.6170976780857702
2892,-1.6415195761843817
2894,-2.008642830575231
2899,-1.363786441801708
2902,-1.640328998433776
2904,-2.005709902261022
2908,-1.455165244104097
2910,-1.9246542532691233
2912,-1.924566251183013
2918,-1.3093959064016305
2920,-1.9617228551342618
2922,-1.994191896901667
2925,-1.6400184969183675
2930,-1.349757448461087
2933,-1.6640827682344306
2937,-1.44861423411498
2941,-1.4884169279697204
2945,-1.4610021758324256
2948,-1.6717429070770438
2950,-2.008573602913655
2952,-2.0085538673034797
2955,-1.639819661002927
2958,-1.6271058289744318
2966,-0.9539202178056921
2969,-1.6396761501255785
2973,-1.4031857825027485
2977,-1.4702989797627433
2981,-1.4008189908688888
2984,-1.6407365007681578
2987,-1.0138495006202686
2991,-1.4664351791090757
2994,-1.6408160210038814
2996,-2.0058014513940714
2999,-1.6424435726852102
3002,-1.6302918907009694
3007,-0.9074208336458579
3009,-1.9591880755061788
3017,-1.241940952917888
3020,-1.6413698184540522
3022,-2.00850081845992
3026,-1.4790266055428938
3028,-2.005808744941554
3032,-1.4528131204303731
3035,-1.663944542861534
3038,-0.9869757613457453
3041,-1.6366056503367907
3045,-1.4521067684750035
3049,-1.4499950489780793
3051,-2.0086614106861234
3054,-1.6640427764789567
3058,-1.4575384628056847
3060,-2.0085939056145197
3062,-2.008524619300573
3064,-2.0085689716735438
3069,-1.3373078204620417
3072,-1.6473780394576825
3077,-1.3896446006108798
3079,-2.005794817935975
3082,-1.6638136850927745
3086,-1.476052890306413
3088,-1.9236278762511385
3091,-1.6376084898069205
3094,-1.6397011192179896
3097,-1.6373882519222231
3100,-1.6386631491937083
3106,-1.32734446797322
3110,-0.9498304035507242
3120,-1.175378096402602
3123,-1.6310558018073265
3125,-2.0057401832059334
3128,-1.663063657152028
3131,-1.639315225132745
3140,-1.19959524539739
3143,-1.6356509965777928
3146,-1.6168974489067842
3149,-1.6335734277358993
3151,-1.9241658562932846
3153,-2.0085836037951905
3158,-1.3780713611977977
3161,-1.6633038412497356
3163,-1.923860079480795
3165,-1.9590411806227004
3168,-1.6347857762426206
3171,-1.640029711232268
3175,-1.4941950312442653
3180,-1.373219106908616
3183,-1.622890913798356
3186,-1.0134755683672612
3189,-1.6631286498082858
3192,-1.6360467649123922
3195,-1.639396062043966
3201,-1.3131498488877031
3203,-2.0085819316567433
3206,-1.6228649809611495
3212,-1.330519786964812
3215,-1.617321588027698
3218,-1.6347958098935413
3221,-1.634238083347153
3223,-1.9941395295437156
3225,-1.923542307499709
3227,-2.008543991406593
3232,-1.3654800592069936
3234,-1.9248629248333848
3236,-1.9579645801006733
3242,-1.2729675367892004
3246,-1.4714358997214436
3249,-1.6406979964921107
3253,-1.491203951874804
3255,-2.0085747840368926
3259,-1.4788509004834989
3262,-1.6820201680840743
3265,-1.6361937599923593
3267,-2.008608179268907
3271,-1.4583993971191513
3278,-1.2569413113157306
3282,-1.4548468907408887
3285,-1.6552180314199505
3289,-1.478025565913034
3292,-1.6385838054413753
3294,-2.008548035199798
3296,-1.9941506931600603
3299,-1.015864668610357
3302,-1.6228360008268936
3304,-2.0086183649869134
3307,-1.6386538421362709
3312,-1.2846101513995667
3315,-1.6632618477710885
3318,-1.6377182541286885
3321,-1.6353839379792483
3325,-1.479908863278868
3329,-1.4602108527895967
3331,-1.9255401483196595
3333,-1.9583165197687769
3336,-1.6633351707182709
3338,-2.008614637802711
3342,-1.5017374769027687
3344,-2.0085347214608937
3346,-1.9236693372429314
3348,-2.008637609893499
3350,-1.9580610250656014
3352,-2.0085696055456657
3356,-1.5200846181745407
3362,-1.3450055181820704
3364,-1.9238235241980193
3366,-1.924098754712965
3368,-1.9237688257403671
3371,-1.616925578723495
3375,-1.5006094936517607
3378,-1.638263164111977
3381,-1.6631282469496362
3384,-1.616955619260863
3386,-2.008535154305866
3388,-1.9599919615063228
3391,-0.996787968009684
3394,-1.6405115779514892
3401,-1.2366816727885634
3404,-1.6345539043904302
3407,-1.6407064745335553
3410,-1.6410135710585332
3412,-1.9941700391855797
3415,-1.0184995588890116
3418,-1.6630360437425926
3420,-1.9241541350284284
3426,-1.2864819836659305
3429,-1.6355650153595764
3432,-1.637378487506741
3435,-1.6641256812907337
3437,-2.008541308446391
3439,-2.0085700148257635
3442,-1.6391910109440897
3444,-2.0086321822547832
3447,-1.653775527312148
3450,-1.626906722550867
3453,-1.6368927697889168
3455,-1.9234129337314725
3458,-1.6182169380858393
3460,-1.9942516148935248
3464,-1.4199758754734693
3475,-1.1663047168314764
3478,-0.989263852712642
3481,-1.6644246037096264
3484,-1.6167173050387607
3486,-1.9589109125089692
3489,-1.6346300872361912
3492,-1.6375701330895858
3495,-1.0150667555967314
3498,-1.6395247790099228
3501,-1.6398328887397782
3508,-1.2599239402418303
3512,-1.4539185997711557
3514,-1.9237133510864068
3520,-0.9693561278685648
3524,-1.4786170039957645
3527,-1.6820682648001286
3530,-1.6429125953337973
3533,-1.6173107283204355
3538,-0.9649765356851301
3547,-1.2160327704926064
3553,-1.251668023339093
3557,-1.4763761580921742
3561,-1.4318946450756223
3564,-1.6175401657961856
3566,-1.9239932755084073
3570,-1.5172049199053317
3573,-1.637372477685094
3576,-1.0148417670223742
3578,-2.008564093903301
3580,-2.00859911384521
3583,-1.6719183948551517
3586,-1.6706039148334986
3588,-1.9941511307803752
3591,-1.6396422970108864
3594,-0.9861339978537912
3597,-1.627259098876787
3600,-1.6383664849171333
3602,-1.9235282268076344
3605,-1.588712695916368
3608,-1.6330262088030796
3613,-1.3718676320237464
3616,-1.6640150463612209
3622,-1.024150695539932
3625,-1.6358020896493901
3627,-1.9588554389741397
3630,-1.6165552052413634
3633,-1.635103680681766
3638,-1.3928372941536518
3640,-1.9942994786768495
3646,-1.3201294885321924
3648,-2.008670975469525
3653,-1.3866830919178512
3656,-1.653987660075595
3660,-1.4579730577144363
3663,-1.625413216749285
3666,-1.6172498353969047
3673,-1.2618073001049848
3676,-1.6403709071866206
3679,-1.022258706250499
3682,-1.6638406069687635
3687,-1.3365750591800467
3689,-2.008519006404217
3692,-1.018461855713442
3695,-1.6382762695811575
3698,-1.6170416612791154
3701,-1.6395702372174712
3704,-1.6344915650144853
3707,-1.6349438671264507
3713,-1.3262498031092471
3715,-2.0085382655491086
3717,-2.005835777710617
3723,-1.2602086232756207
3728,-0.9739042568963109
3730,-1.9592359310833327
3735,-1.3719996458699153
3739,-1.455922954675473
3741,-2.0085734510582576
3749,-1.2054858622222686
3754,-1.3861998503496902
3756,-2.0085411053764326
3759,-1.5925846635469891
3761,-1.9575572709907234
3764,-0.9870687414291425
3766,-1.923622115351892
3769,-1.641544122244736
3774,-1.3729648937802033
3777,-1.6269373471510102
3779,-1.9940732810397144
3783,-1.4357378364882014
3788,-1.3800077129214785
