Metrics/EnvironmentSteps,Metrics/AverageReturn
3,0.1360090511283656
6,-0.18619193396552455
10,0.2309508264064789
13,0.14461828401719015
16,-0.1844231889165681
20,-0.026394744926726416
24,-0.0127951086137508
26,-1.2672413793103448
29,-0.18679938580219949
32,-0.1879955841206956
35,-0.18630750723953907
38,-0.18591599033438955
41,-0.1845392691678014
44,-0.18556933036480835
47,0.14597493643048162
52,0.09082908679699073
59,0.0488256804818681
62,-0.18613623383123126
66,-0.00808335953745351
70,-0.26284040346227844
74,-0.01353399335438829
77,-0.18644163541752715
79,-0.02686035606592646
81,-0.03024813471169302
84,-0.1859265770377784
89,-0.1142314044360457
92,-0.18641439764706913
95,0.1455522775650024
98,-0.18593793096898617
103,-0.32944734528917696
106,0.1352690577164464
109,-0.1887272349719343
114,-0.2999826556238635
120,-0.3538575420359513
123,0.14667808550527725
124,-3.0
129,-0.12505736685550675
130,-3.0
133,-0.18447890473508288
136,-0.18792687818921847
139,-0.18731205970391462
144,0.2916239865072842
148,0.23475889103519249
151,-0.1863171129733667
154,0.14669354695013204
156,-0.02675304364087866
159,-0.1864338592208665
166,0.07263055352741864
169,-0.18625358109865545
172,-0.18632836598560384
175,-0.18594315473375653
179,-0.277678396056631
182,-0.18552991466960686
185,-0.18478153368522388
188,-0.1858461143846366
193,0.08677958452496037
196,-0.18319128765456982
200,-0.26280454745965787
204,-0.012874497678773189
206,-0.012279318941050554
211,-0.1103991194429069
221,-0.11892932469426687
223,-0.024447939519224526
228,-0.12483152685558488
231,-0.18562361687079243
234,-0.1861265243170248
239,0.09079559178187926
242,0.14870259388424886
246,-0.025222311154457527
251,0.0800002806967702
254,-0.1859474582335344
256,-0.023688867585412332
259,-0.18482759834706095
261,-1.2672413793103448
264,-0.18617437288871616
265,-3.0
269,-0.01304416010489462
274,0.07530697713766635
277,-0.18710161535518957
282,0.08054639701185558
286,-0.02641254146743946
288,-0.03055299438279252
291,-0.1873764324462276
293,-0.016752672195434526
