Metrics/EnvironmentSteps,Metrics/AverageReturn
4,-1.4715821004632892
6,-2.0059153519290467
9,-1.6374881784932034
11,-1.9242772720160954
15,-1.4780799460337197
17,-2.008541591520947
20,-1.6630435219149085
23,-1.67179722586736
25,-2.0085660498629108
31,-1.3010698593012568
35,-1.4611902504499206
37,-2.008488432112209
40,-1.6401272671167326
43,-1.6629327148096917
45,-2.0086096864055243
53,-1.189414744820347
55,-1.9247590659213403
57,-1.9233658524463932
59,-1.9234304869258598
62,-1.6410319828667317
65,-1.6342895968253413
67,-1.9604337795047146
70,-1.63888942618856
72,-2.008511194967308
74,-2.0084853782044942
76,-1.9941084038802708
80,-1.4766757993001856
84,-1.45459435913637
88,-1.4765425340826384
94,-1.3066488219785186
96,-2.0058943504286164
99,-1.6628271901884792
105,-1.3278955579483966
107,-2.008598820036382
110,-1.6628696769094347
113,-1.645028421342739
115,-1.9233804690177032
118,-1.6405269529951518
120,-1.958043591169885
125,-1.3810740463303166
127,-1.958067985131443
130,-1.6645133983981657
133,-1.6388769041453164
137,-0.9892999227509923
139,-2.0087457757487552
143,-1.4504310066160073
147,-1.4044780205641758
154,-1.2620446435531334
157,-1.6403450816822245
159,-1.9940593785542189
161,-2.0085898939022933
163,-1.9239772343096424
167,-1.499900043907917
170,-1.635987773269066
173,-1.0163305969583876
176,-1.6168437105914137
179,-1.6819759510751267
182,-1.6372334879851056
184,-1.9571843882437143
188,-0.9494367625247278
191,-0.9835495576510848
195,-1.4642573992928
200,-1.3401147334514198
203,-1.640236781443303
205,-2.0058804362657234
209,-1.4720573044695213
212,-1.0166507384091756
216,-1.4774882363755983
218,-1.956967986264433
221,-1.6418373637589407
226,-1.3348702495872315
229,-1.6169396516701005
234,-0.9471238829043787
236,-2.008578341085162
239,-1.6641324988891057
241,-2.0057360361178254
245,-1.425076305775304
248,-1.639966377070423
251,-1.6268875261317444
253,-2.008588096527204
256,-1.640279531467301
258,-1.9242621027055897
260,-1.9235498289066084
262,-2.0057336325349633
266,-0.9540976424483589
268,-2.0084751178250553
270,-2.0085360358830227
272,-2.008644488586566
276,-1.4790775663613898
278,-2.0086408377003666
282,-1.4664388099624244
285,-1.6717777742255493
287,-1.9941841491836834
291,-1.4885791542442908
294,-1.634442555327693
296,-1.924292236853752
298,-1.9941712397613647
306,-0.9781854042933571
308,-1.9939881512100754
312,-1.4599755727112034
314,-2.0085003585345595
316,-2.0086872771010365
318,-1.9941527340696024
322,-1.4539480725439988
325,-1.6819538724805057
331,-1.3088191463046386
334,-0.9812639695694276
337,-1.6358416969084815
339,-1.9941132588321895
344,-1.3872769969615082
348,-1.45846202088935
352,-1.500595222004232
354,-2.005788739333652
357,-1.6170997893099155
360,-1.6346060650798568
363,-1.6405550726750626
366,-1.6718021954392672
369,-1.6819701596868086
372,-1.6175351183091937
375,-1.641356945519507
378,-1.592908526091108
380,-1.9944200196687794
382,-1.9237865587212886
385,-1.639439745526091
388,-0.9817074904430431
391,-1.6414952684058726
393,-2.008608495179665
397,-1.4297155038842138
399,-2.0086104662099586
402,-0.9804253088927402
404,-2.008569126176486
408,-1.4798089664976728
411,-1.616524922834601
414,-1.6632680873001668
417,-1.641215975647082
420,-1.6420130159744444
422,-1.9584481415771655
425,-1.0148662297979907
427,-2.0056849808963326
431,-1.481436158513013
433,-2.0085263332776764
436,-1.640651988214784
438,-1.994310137923275
442,-1.4247138246882036
445,-1.6383492072781898
449,-1.4721651888281375
452,-1.6718209862532107
454,-1.923433593577126
458,-1.4439743197314299
461,-1.671942196136607
466,-1.3789188188695265
469,-1.6627719843352127
471,-1.9233847431622684
474,-1.6355273123120073
478,-1.4791078617495215
481,-1.6372476771805022
485,-1.4765791723990134
489,-1.4925911818471014
496,-0.9643292215106456
500,-1.4814386735146627
505,-1.3348947459145974
510,-1.35971843373935
513,-1.6394905525955457
516,-1.6629056662868482
518,-1.9234127975011943
520,-2.005797399916234
524,-1.5009566738052456
527,-1.6169229640378167
530,-1.5949784994358664
533,-1.6381974686234893
535,-2.0086016025373774
540,-1.3742569580331447
543,-1.6354413438978443
548,-1.3268612880397772
551,-1.6363474598126724
554,-1.6171350313533244
557,-1.6372383193886495
560,-1.636251244382214
564,-1.4606851485453216
566,-1.923414703687882
570,-1.451846072630079
572,-1.9941623866889868
574,-2.0058333152016554
578,-1.4805956470455095
582,-0.9905155260095301
585,-1.6392939084975027
587,-2.00859512481032
590,-1.6380164274662723
594,-1.5172475009959066
603,-1.199713790583865
605,-1.9236007715629886
608,-1.6410283961643188
610,-2.0085474643131107
613,-0.9831851197983772
618,-1.010018060817396
621,-1.00705192174161
624,-1.0173813321046559
626,-1.9237347412489654
629,-1.6641928213694162
632,-1.6642988721045533
638,-1.3182507662123142
642,-1.4553581360379961
646,-1.4122756641837055
649,-1.6642003188851036
651,-1.9908394864092043
653,-1.9601072397517716
655,-2.008499197920224
657,-1.9584142922148797
660,-1.6639839591938397
662,-1.924155371354153
666,-1.4553540739324373
669,-1.6395763716160594
671,-2.008539787482305
673,-1.9584647504207193
675,-1.9238058681964412
683,-1.198074616029662
688,-1.3587858669342618
693,-1.3682994509721387
698,-1.3845037608824369
700,-2.005817820098472
703,-1.6398691358951147
705,-1.9234050825333227
711,-1.2948982363470798
714,-1.6352377145961616
718,-1.4611323191103884
720,-2.0058014098571855
726,-0.9463095429057519
728,-2.0085968555113825
732,-1.4460519185018854
734,-2.0058067084061215
739,-1.37522150499658
743,-1.4794451351130211
749,-1.2994378114223084
751,-1.9578167057453002
753,-1.959450177227396
756,-1.016953604396987
758,-2.0085891026437133
761,-1.6411188930645606
764,-1.6707027873300444
768,-1.4926996558982002
770,-1.923324354072979
772,-1.9239154104384795
774,-2.0058781051687107
777,-1.6361937172166758
782,-0.9925060828190595
788,-1.2752626306676973
792,-1.4804404287500725
795,-1.6386314778966267
797,-2.008517004400453
799,-1.923492947749237
801,-2.008647393488517
805,-1.4602130920884124
808,-1.6402281853165939
810,-2.0085415348992024
813,-1.671806212685592
816,-1.5968619136923776
819,-1.639051842463531
822,-1.6409699334603742
825,-1.6820127581542226
828,-1.6342428829321405
832,-1.4884096291323137
837,-1.3652345872873184
842,-1.3798753885697563
845,-1.6343326280974757
849,-1.4841481503731124
852,-1.64231194452064
856,-0.9905647401706881
861,-1.3500408964709556
863,-2.00851426222147
865,-2.0085596717557044
876,-1.1321394599473862
879,-1.6388512072953807
882,-1.6274266996537585
885,-1.6391010982748202
887,-1.9564875997578932
893,-1.315860579121547
896,-1.6391984814900973
899,-1.6268828462495917
901,-2.00861548953358
906,-1.3357258064435793
908,-1.924568356543789
910,-1.99403256300825
913,-1.6633874834030482
917,-1.4547632044608365
922,-1.367308320354471
926,-1.4518050398245042
929,-1.664240314639312
931,-2.0085328791927965
938,-1.2443780827965338
941,-1.6403007089450166
944,-0.9965751045713244
946,-2.0085266855622717
950,-1.474357103794142
954,-1.4606427614650963
958,-1.411361634833176
960,-1.9943508167831276
963,-1.6417361174037435
966,-1.6371267654697128
968,-1.9241149601158734
972,-1.402889525495875
975,-1.6169253513116135
977,-2.005818422303698
980,-1.6639794632234413
984,-1.457192283120848
987,-1.6413506362649144
990,-0.9880737528736917
993,-1.6376489173318312
995,-2.0085857871073474
999,-1.4614929540569204
1001,-1.9598741590970046
1005,-1.4530452350525838
1010,-1.3214478666638785
1017,-0.972697967825802
1019,-1.9236871112014475
1025,-1.2832046949900369
1029,-1.501868389582898
1032,-1.6425634872093957
1034,-2.008560232810259
1036,-1.960313474729217
1038,-2.005779451235364
1042,-1.4886420169971137
1044,-2.0085500244123997
1048,-1.4453877724811748
1051,-1.6718744317846814
1054,-1.6382186273242947
1056,-2.008613850623408
1058,-1.9604238471661701
1060,-1.9940590218853003
1064,-1.5034485809562521
1066,-2.00863416024755
1069,-1.6537845182236712
1073,-1.4765718123495817
1077,-1.3989568375288013
1079,-1.9238035206843753
1082,-1.6357140705014321
1087,-1.3169205319391648
1090,-0.9628991339794428
1093,-1.0178014513952671
1095,-2.0058236720348654
1098,-1.6346160987098262
1101,-0.9915268902334273
1104,-1.6413964537093797
1108,-1.4552828583704138
1114,-1.3320115231510212
1119,-1.3509311493408582
1122,-1.6632311741257626
1125,-1.6718179847182408
1130,-1.3411315638868313
1133,-1.6268897894498882
1137,-1.4572094596678802
1139,-1.9234550081380082
1141,-2.008551204693841
1144,-1.638165348957472
1149,-0.9486674992688702
1152,-1.6405250284781607
1159,-1.275770358338823
1162,-1.6346612804734597
1165,-0.9953111092903019
1171,-0.973325939525186
1174,-1.6377155159177466
1177,-1.6396767972587216
1181,-1.418625568053932
1184,-1.6393063686861649
1187,-1.6341654173121853
1190,-1.6387548359600232
1193,-1.6170645246892128
1195,-2.005678307923282
1203,-1.2004364095066102
1208,-1.398973348760262
1213,-1.3669804361011508
1216,-1.6403337812768939
1218,-2.005800311682545
1221,-1.6717941285398552
1223,-2.008593084559404
1234,-1.1426501893705732
1237,-0.980454449551441
1240,-1.6379982815766116
1243,-1.6404938484981912
1245,-1.9241089875246469
1248,-1.663006633317708
1250,-2.0085859577492133
1253,-1.639427316884409
1256,-1.636922261517925
1261,-1.3701698843890584
1264,-1.6538399671298103
1269,-0.9596472405556303
1271,-1.9591792147033318
1273,-2.005752393515353
1277,-1.4431484689407117
1279,-1.924488016067555
1281,-2.0085508872919515
1283,-1.9584070907407196
1286,-1.6627038932877245
1288,-1.924424605052182
1290,-1.958399488318967
1292,-1.9238453469488992
1296,-1.458195731149114
1300,-1.503176231857442
1302,-1.9234339474693771
1305,-1.6706807131234402
1307,-2.008606253685996
1310,-1.6705082473250605
1312,-1.994150011293776
1316,-1.4604391938044037
1318,-1.9941690288261589
1321,-1.637154706050658
1325,-1.4539799666848536
1328,-1.622794692906811
1331,-1.6414325913986287
1333,-1.9235063705225448
1336,-1.6383118749247982
1340,-1.4555806839212433
1344,-1.4651247530740226
1347,-1.6540095959610734
1350,-1.0156885848573267
1357,-1.2211020766764136
1359,-2.008550225201298
1362,-1.6346371569176332
1365,-1.5923761545717554
1372,-1.2463122192293559
1376,-1.4516192870298859
1379,-0.9629650458549316
1385,-1.3079415061925155
1388,-1.6391477178491165
1394,-1.3156031863101454
