Metrics/EnvironmentSteps,Metrics/AverageReturn
1,-3.0
2,-3.0
7,-0.12502520158694216
24,-0.16818803585054623
27,-0.18673825441945305
30,0.14712601013444151
33,-0.1822180460239279
37,-0.02092428465129445
42,-0.12508775286633397
46,-0.013242658047840583
47,-3.0
48,-3.0
52,0.23336168650923106
56,-0.0038867769570186117
59,-0.18642565573769052
63,-0.2722330775979007
64,-3.0
68,-0.014395999086314226
73,0.07849167120353932
78,-0.32138670317892876
83,0.07529410116374491
86,-0.1843320623211477
93,-0.09986766689433917
96,0.14791751002100692
101,-0.12475694889202708
107,0.14038079995754593
112,0.07538827459681138
114,-0.01700761482633395
117,0.14808154709037694
120,0.14646802818638158
123,-0.18540776577489126
128,0.09790680983970904
131,-0.18569601722832385
134,-0.18557872566683545
