Metrics/EnvironmentSteps,Metrics/AverageReturn
3,-1.0180373289208016
8,-0.99663236998164
13,-1.4038309104441882
16,-1.6413017748085552
19,-1.6384515815610339
21,-1.9244735152100128
24,-1.6412382314750686
27,-1.0149981070641907
29,-2.0085365280808416
32,-1.6309011985145707
36,-1.4534577585028408
38,-2.008622945513169
41,-1.63989422892789
43,-1.9237711353338147
46,-1.664212752801986
48,-1.960790931214139
54,-1.3156517771643372
57,-1.638379176367889
59,-2.00848763585458
62,-1.6633237659796904
64,-2.008755470501245
