Metrics/EnvironmentSteps,Metrics/AverageReturn
568,-1.4589665397763094
571,-1.6820013547570873
575,-1.4760544695792184
577,-1.9565392866413074
582,-1.3708651478085419
586,-1.4720151180083731
590,-0.9916718750414323
593,-1.6379708215319688
596,-0.9839501296752585
598,-2.0087962908242813
604,-1.289455661748158
609,-1.3455103544032296
611,-1.9238922997017873
613,-2.0087177261952207
615,-2.0087032970065737
618,-1.6054896323898582
621,-1.635640856823209
624,-1.019192962712461
627,-1.6367741098642032
631,-1.47848620011233
636,-1.394299446082642
639,-1.6718776208203565
641,-1.957885763818897
649,-0.9672477728350608
654,-1.3621755363697343
656,-2.008703275544896
658,-1.9235906742454354
661,-1.6391141261177846
664,-1.6390622831632973
667,-1.6388908409574443
669,-2.008588579732562
671,-2.005881181068144
674,-1.625550045542224
676,-2.008606282017521
679,-1.662973903713733
683,-1.4737808965641668
685,-1.9233564984772185
690,-1.0088385195309217
692,-1.9579204653840525
697,-1.3828342657489556
703,-1.3202037203113772
705,-2.008641387520924
707,-1.9579006922532822
710,-0.9794025439577682
713,-1.6638268904166988
716,-1.0095474315964754
719,-1.6376537629643773
723,-0.9893810174993158
726,-1.6403328517276983
729,-0.9845931733147707
732,-1.6640633082838097
734,-2.008578912807731
736,-1.9233791757705485
741,-1.3468740005020159
744,-1.6390286245744174
748,-1.450349693530841
751,-1.6344177015925136
753,-2.0087492881501925
756,-1.6333989632145718
760,-1.4590862866198229
763,-1.635576024987211
768,-1.3856383326824293
771,-0.9819758246909576
775,-1.4527759784080545
778,-1.6641595331188943
780,-2.0086717136524785
782,-1.9942150263045453
786,-1.4211799999117103
792,-1.308916904450705
795,-1.6396007923301488
801,-1.21408448798432
806,-1.387620983122515
811,-1.3682889292209712
815,-1.4331788527604024
818,-1.6268694529996648
820,-1.9943948717395705
823,-1.6342244937400208
830,-1.2123358567968832
833,-1.6358801122522442
836,-1.6413135620828119
839,-1.6399755222062524
842,-1.670562650497389
845,-1.6425028472424656
847,-1.9557880368218608
849,-2.00594132653243
851,-2.005818593730163
854,-1.6164640553000138
859,-1.4208007537898473
863,-1.4580762440601807
867,-1.460545936650691
870,-1.6390903833675143
872,-1.9560524584424535
874,-1.9583244874949366
878,-1.4002575343568675
880,-1.923902740374892
883,-1.6401056988169607
889,-1.354381147149823
892,-1.6359535993358716
896,-1.4761499582453463
903,-1.2637710832338525
907,-1.4512141218125214
909,-1.9242136492237671
912,-1.6343634037078016
915,-1.6269480731283226
918,-0.9855065443330338
921,-0.9810871741561038
924,-1.6397767496571458
926,-2.005714546489468
928,-2.008776813283437
932,-1.470279267799761
935,-1.6375470839250184
938,-1.640401241125591
940,-2.0086261079155476
943,-1.6167417223458143
946,-1.6632231398937687
949,-1.6227184847868372
953,-1.472050544986199
956,-1.6405358715514982
958,-1.9236565916940738
960,-1.9561692725007356
963,-1.6632443455076737
965,-1.9234789198342441
967,-2.008600491432915
971,-1.4723645850958424
974,-1.6377352298246317
976,-2.008597231446502
980,-1.4722480253502708
984,-1.478834859915628
987,-1.0174092996614437
992,-0.9376801626981546
997,-1.372695665499916
999,-2.0085849236324416
1003,-0.9911997398286111
1005,-2.0085718365934406
1008,-1.6404042291493592
1011,-1.6351080721688447
1014,-1.6042467598778456
1017,-1.6379919886832373
1021,-1.4445414535511718
1023,-1.956260070223753
1026,-1.6053238764400373
1031,-0.94462335152277
1034,-1.6395694912698726
1037,-1.0157482773132644
1040,-1.5915238335201642
1042,-1.9235285205734407
1045,-1.6347020319598242
1052,-1.2548347546307075
1055,-1.6738449142669787
1058,-1.6413986529213662
